product_id,product_name,current_stock,reorder_level,shortage,recommended_order_qty,estimated_cost,priority,supplier_id
INV-0007,Home Product 7,23,24,1,48,5643.84,Medium,SUP-003
INV-0009,Home Product 9,36,48,12,96,4401.6,Medium,SUP-018
INV-0015,Electronics Product 15,24,48,24,96,3340.8,Medium,SUP-020
INV-0016,Books Product 16,5,17,12,34,1837.02,Medium,SUP-018
INV-0025,Books Product 25,3,14,11,28,3164.28,Medium,SUP-002
INV-0026,Electronics Product 26,36,42,6,84,15251.04,Medium,SUP-022
INV-0031,Clothing Product 31,0,16,16,32,5616.64,High,SUP-003
INV-0035,Books Product 35,25,47,22,94,1587.66,Medium,SUP-017
INV-0040,Electronics Product 40,6,16,10,32,218.24,Medium,SUP-017
INV-0045,Home Product 45,47,50,3,100,18154.0,Medium,SUP-009
INV-0047,Sports Product 47,23,44,21,88,10065.44,Medium,SUP-019
INV-0050,Clothing Product 50,21,36,15,72,12499.2,Medium,SUP-014
INV-0056,Sports Product 56,34,37,3,74,13349.6,Medium,SUP-022
INV-0063,Electronics Product 63,37,39,2,78,1092.78,Medium,SUP-021
INV-0064,Clothing Product 64,22,25,3,50,7254.0,Medium,SUP-001
INV-0065,Electronics Product 65,15,39,24,78,12229.62,Medium,SUP-004
INV-0072,Sports Product 72,10,46,36,92,7447.4,Medium,SUP-001
INV-0078,Sports Product 78,22,44,22,88,4768.72,Medium,SUP-008
INV-0079,Electronics Product 79,15,25,10,50,7867.0,Medium,SUP-001
INV-0084,Electronics Product 84,21,32,11,64,10256.64,Medium,SUP-022
INV-0085,Electronics Product 85,23,41,18,82,8500.12,Medium,SUP-021
INV-0088,Sports Product 88,27,31,4,62,3258.1,Medium,SUP-011
INV-0102,Books Product 102,30,49,19,98,19409.88,Medium,SUP-004
INV-0104,Clothing Product 104,9,28,19,56,309.12,Medium,SUP-023
INV-0106,Electronics Product 106,5,19,14,38,4225.22,Medium,SUP-010
INV-0108,Books Product 108,20,37,17,74,7495.46,Medium,SUP-020
INV-0114,Sports Product 114,0,44,44,88,15282.08,High,SUP-002
INV-0117,Clothing Product 117,7,45,38,90,12906.9,Medium,SUP-008
INV-0128,Books Product 128,4,44,40,88,6960.8,Medium,SUP-008
INV-0133,Sports Product 133,4,39,35,78,10092.42,Medium,SUP-022
